Datum;Waren_ID;Warenbezeichnung;Export;Import;Handelsbilanz
01.01.09;WA20;Zubereitungen von Gemüse, Früchten usw.;164899;312960;-148061
01.01.09;WA21;Verschiedene Lebensmittelzubereitungen;275301;199600;75701
01.01.09;WA22;Getränke, alkoholhaltige Flüssigkeiten, Essig;263356;413775;-150419
01.01.09;WA23;Rückstände der Lebensmittelindustrie, Futter;200922;230270;-29348
01.01.09;WA24;Tabak;346712;138399;208313
01.01.09;WA25;Salz, Schwefel, Steine, Erden usw.;130572;111709;18863
01.01.09;WA26;Erze, Schlacken, Aschen;31514;504982;-473468
01.01.09;WA27;Mineralische Brennstoffe usw.;1731038;7396247;-5665209
01.01.09;WA28;Anorganische chemische Erzeugnisse;466214;404956;61258
01.01.09;WA29;Organische chemische Erzeugnisse;1343198;1601981;-258783
01.01.09;WA30;Pharmazeutische Erzeugnisse;3796474;2702188;1094286
01.01.09;WA31;Düngemittel;103433;89946;13487
01.01.09;WA32;Gerb- und Farbstoffe, Farben, Lacke usw.;496289;254738;241551
01.01.09;WA33;Etherische Öle, Riech-, Schönheitsmittel;495697;299589;196108
01.01.09;WA34;Seifen, Waschmittel usw.;348292;181969;166323
01.01.09;WA35;Eiweissstoffe, Klebstoffe, Enzyme;146356;122303;24053
01.01.09;WA36;Sprengstoffe, pyrotechnische Artikel usw.;12542;18565;-6023
01.01.09;WA37;Photochemische Erzeugnisse;79036;56277;22759
01.01.09;WA38;Verschiedene Erzeugnisse der Chemischen Industrie;1129771;737224;392547
01.01.09;WA39;Kunststoffe und Waren daraus;2734673;1747964;986709
01.01.09;WA40;Kautschuk und Waren daraus;673707;596434;77273
01.01.09;WA41;Häute, Felle, Leder;52759;47812;4947
01.01.09;WA42;Lederwaren, Sattlerwaren;108226;216460;-108234
01.01.09;WA43;Pelzfelle, künstliches Pelzwerk;7283;6253;1030
01.01.09;WA44;Holz, Holzwaren, Holzkohle;441077;379478;61599
01.01.09;WA45;Kork, Korkwaren;2588;6159;-3571
01.01.09;WA46;Flechtwaren, Korbmacherwaren;3748;12830;-9082
01.01.09;WA47;Halbstoffe aus Holz usw., Papierabfall;58932;216467;-157535
01.01.09;WA48;Papier, Pappe und Waren daraus;1299531;870919;428612
01.01.09;WA49;Bücher, Zeitungen, Bilddrucke usw.;408254;180187;228067
01.01.09;WA50;Seide;5337;6794;-1457
01.01.09;WA51;Wolle, feine und grobe Tierhaare;42603;42989;-386
01.01.09;WA52;Baumwolle;77831;69100;8731
01.01.09;WA53;Andere pflanzliche Spinnstoffe, Papiergarn;7548;7093;455
01.01.09;WA54;Synthetisches oder künstliches Filament;133500;94953;38547
01.01.09;WA55;Synthetische oder künstliche Spinnfaser;112697;101607;11090
01.01.09;WA56;Watte, Filz, Vliesstoff usw., Tauwerk;118653;75683;42970
01.01.09;WA57;Teppiche, Fussbodenbelag aus Spinnstoff;40526;98351;-57825
01.01.09;WA58;Spezialgewebe, Spitzen, Tapisserien;34089;25149;8940
01.01.09;WA59;Getränkte, bestrichene usw. Gewebe;113609;90368;23241
01.01.09;WA60;Gewirke und Gestricke;52696;28071;24625
01.01.09;WA61;Bekleidung usw. aus Gewirken, Gestricken;455942;958662;-502720
01.01.09;WA62;Andere Bekleidung, Bekleidungszubehör;667612;1155415;-487803
01.01.09;WA63;Andere Konfektion, Spinnstoffwaren usw.;121745;216903;-95158
01.01.09;WA64;Schuhe, Gamaschen, ähnliche Waren;273087;509624;-236537
01.01.09;WA65;Kopfbedeckungen und Teile davon;15260;30913;-15653
01.01.09;WA66;Schirme, Gehstöcke usw., Peitschen;9316;17487;-8171
01.01.09;WA67;Zugerichtete Federn, Daunen, künstliche Blumen;6518;12948;-6430
01.01.09;WA68;Waren aus Steinen, Gips, Zement usw.;203009;141531;61478
01.01.09;WA69;Keramische Waren;206689;158479;48210
01.01.09;WA70;Glas und Glaswaren;349170;250426;98744
01.01.09;WA71;Perlen, Edelsteine, Edelmetalle;464502;683090;-218588
01.01.09;WA72;Eisen und Stahl;1393690;1478394;-84704
01.01.09;WA73;Waren aus Eisen oder Stahl;1711220;1149720;561500
01.01.09;WA74;Kupfer und Waren daraus;462195;360391;101804
01.01.09;WA75;Nickel und Waren daraus;74975;73254;1721
01.01.09;WA76;Aluminium und Waren daraus;716269;670866;45403
01.01.09;WA78;Blei und Waren daraus;23045;8272;14773
01.01.09;WA79;Zink und Waren daraus;26503;38288;-11785
01.01.09;WA80;Zinn und Waren daraus;7088;15590;-8502
01.01.09;WA81;Andere unedle Metalle, Cermets usw.;57378;83571;-26193
01.01.09;WA82;Werkzeuge, Schneidwaren, Essbestecke;432169;273327;158842
01.01.09;WA83;Verschiedene Waren aus unedlen Metallen;390037;239489;150548
01.01.09;WA84;Maschinen, Apparate, mechanische Geräte;12224983;7375882;4849101
01.01.09;WA85;Elektrotechnische Erzeugnisse;6433948;5853116;580832
